"iso3c","year","pop","urban","rural"
"MDG",1997,14778903,3665649.06745785,10262069.9926104
"MDG",1998,15250934,3822915.56700724,10556956.5772168
"MDG",1999,15730885,3987152.15323232,10860714.8930273
"MDG",2000,16216431,4157492.60734375,11172532.1681448
"MDG",2001,16709665,4334407.30260002,11489974.6344406
"MDG",2002,17211934,4517567.28790617,11812104.0320048
"MDG",2003,17724310,4705725.24402925,12139152.8358509
"MDG",2004,18250774,4898787.63497921,12467424.2856769
"MDG",2005,18792171,5156014.59778117,12736839.2401282
"MDG",2006,19350299,5421251.42355681,13001831.3928896
"MDG",2007,19924958,5693856.61942173,13259332.0899346
"MDG",2008,20513599,5978551.15526047,13514859.484189
"MDG",2009,21117092,6270902.35719956,13764231.3155618
"MDG",2010,21731053,6574693.13613105,14011736.8449656
"MDG",2011,22348158,6892491.81073447,14263682.9397752
"MDG",2012,22966240,7224799.31412369,14519657.2882631
"MDG",2013,23588073,7572200.53541466,14778396.7770491
"MDG",2014,24215976,7935091.85836656,15043165.1815314
"MDG",2015,24850912,8317271.65586518,15315130.8893613
"MDG",2016,25501941,8713213.00602178,15587338.7049245
"MDG",2017,26169542,9125401.16292444,15860746.5121094
"MDG",2018,26846541,9554702.82000203,16137440.1268305
"MDG",2019,27533134,10002154.8582156,16416228.8971535
"MDG",2020,28225177,10468064.3809603,16698868.2125891
"MDG",2021,28915653,10956272.3691559,16988366.3357006
"MDG",2022,29611714,11464785.050943,17281912.1513871
"MDG",2023,30325732,11986757.5166858,17568467.8608912
"MDG",2024,31056610,12522896.7037935,17850294.9935618
"MDG",2025,31797306,13076579.5064525,18128894.3157637
"MDG",2026,32544738,13648161.7396951,18406955.7726967
"MDG",2027,33299316,14235308.1967209,18680486.5000831
"MDG",2028,34061942,14839975.1546756,18952617.4403092
"MDG",2029,34830840,15460263.6628918,19219061.4696631
"MDG",2030,35604443,16096372.6914644,19483188.657101
"MDG",2031,36382789,16747917.5661877,19743374.2091625
"MDG",2032,37165274,17413779.432919,19999358.4602659
"MDG",2033,37952413,18094242.0973338,20252363.1896607
"MDG",2034,38742689,18789097.7056342,20504155.5066041
"MDG",2035,39534122,19502964.4518222,20750153.1967752
"MDG",2036,40326745,20235474.5467307,20988718.7026873
"MDG",2037,41120987,20986022.3928964,21222082.2180168
"MDG",2038,41918817,21756255.9076989,21448642.9566941
"MDG",2039,42720774,22542930.5190023,21667052.2167974
"MDG",2040,43524300,23348477.4022787,21877538.6163591
"MDG",2041,44328120,24174772.0183035,22083677.2233968
"MDG",2042,45131260,25022005.5899171,22284327.8915767
"MDG",2043,45935275,25889499.5186161,22478611.8293621
"MDG",2044,46740497,26775077.1670229,22664299.5901391
"MDG",2045,47546606,27681178.5261812,22843440.8125787
"MDG",2046,48355513,28604650.7251407,23013074.8483632
"MDG",2047,49165426,29548814.974165,23175947.2601743
"MDG",2048,49974855,30510892.7279529,23330271.6736247
"MDG",2049,50784139,31493016.3529995,23477747.176141
"MDG",2050,51592965,32492683.3338615,23615020.6719075
"MWI",1990,9539665,1079373.1226411,8258045.32968401
"MWI",1991,9831584,1123784.93638462,8330325.51011109
"MWI",1992,10115420,1143696.4555105,8215568.90371334
"MWI",1993,10257233,1165138.78547948,8114121.61544931
"MWI",1994,10131799,1222231.90570599,8251032.31913701
"MWI",1995,10112816,1287517.34432823,8421774.40981819
"MWI",1996,10310528,1351199.47300468,8562172.56769004
"MWI",1997,10512678,1435926.03140703,8817020.36341263
"MWI",1998,10732456,1536060.33884509,9141553.89968522
"MWI",1999,10973956,1614237.92841889,9500253.1448094
"MWI",2000,11229387,1683699.38626214,9840827.82078844
"MWI",2001,11498818,1748477.45220422,10148085.8293435
"MWI",2002,11784498,1810436.72797942,10435495.9371201
"MWI",2003,12087965,1872804.47949676,10718361.1137193
"MWI",2004,12411342,1937451.40533554,11008850.1307917
"MWI",2005,12755648,2006759.6722644,11323931.1715093
"MWI",2006,13118307,2082328.15408269,11666770.7197278
"MWI",2007,13495463,2162998.70556497,12032385.4024126
"MWI",2008,13889423,2247082.33020191,12415977.5391678
"MWI",2009,14298932,2335893.3380479,12805223.2152723
"MWI",2010,14718422,2430025.71878969,13201284.7572926
"MWI",2011,15146094,2526758.58211365,13596416.7395237
"MWI",2012,15581251,2629241.06671538,14000579.5426824
"MWI",2013,16024775,2738217.47887256,14410037.582431
"MWI",2014,16477966,2852780.8589968,14828452.4315683
"MWI",2015,16938942,2974486.71823777,15258380.2459445
"MWI",2016,17405624,3103578.82027096,15699785.0235073
"MWI",2017,17881167,3242148.51301372,16153460.7892203
"MWI",2018,18367883,3386867.71905069,16609842.0269772
"MWI",2019,18867337,3539887.63756115,17069219.0424118
"MWI",2020,19377061,3700454.88322507,17532933.1935323
"MWI",2021,19889742,3870868.15907416,18004623.2877229
"MWI",2022,20405317,4052658.23608621,18487100.2004036
"MWI",2023,20931751,4244141.83027497,18971208.6676361
"MWI",2024,21475962,4443902.8621861,19450645.3308122
"MWI",2025,22033992,4655612.97290114,19934517.0861458
"MWI",2026,22601151,4879900.497103,20423208.8887862
"MWI",2027,23176271,5118146.74586779,20916675.5083249
"MWI",2028,23758548,5369133.87973036,21412832.1309871
"MWI",2029,24347875,5635300.9862257,21911513.8384767
"MWI",2030,24944243,5914570.26777682,22404191.8610238
"MWI",2031,25544608,6210517.06880763,22897145.2605575
"MWI",2032,26148406,6521876.24744698,23388059.9834651
"MWI",2033,26755508,6849857.75639169,23875912.2046944
"MWI",2034,27364192,7196349.41166909,24362988.0246418
"MWI",2035,27975136,7557869.24503245,24849912.4365293
"MWI",2036,28589069,7934345.64098607,25335967.603562
"MWI",2037,29206646,8324362.92068593,25819689.1214417
"MWI",2038,29825538,8732198.72848564,26301725.0518666
"MWI",2039,30443121,9155000.96064395,26783756.0741555
"MWI",2040,31059544,9596732.42466148,27266093.6683423
"MWI",2041,31674805,10054578.3312636,27745130.4277958
